Timestamp,Value,Trend,Day of Week,Is Weekend,Is Holiday,Season,Quarter,Month,Week Number,Hour of Day,Peak Hours
2023-09-20T16:44:14.487Z,627.39,0.621,Wednesday,false,false,Summer,3,September,3,12,true
2023-07-19T14:20:07.048Z,71.33,0.812,Wednesday,false,false,Summer,3,July,3,10,true
2023-05-15T06:18:19.720Z,730.02,-0.592,Monday,false,false,Spring,2,May,3,2,false
2023-02-01T10:57:51.033Z,498.61,-0.757,Wednesday,false,false,Winter,1,February,1,5,false
2023-08-08T00:49:54.782Z,516.64,-0.500,Monday,false,false,Summer,3,August,1,20,false
2023-12-19T16:16:41.009Z,920.64,0.497,Tuesday,false,false,Fall,4,December,3,11,true
2023-01-12T21:20:35.502Z,325.43,-0.875,Thursday,false,false,Winter,1,January,2,16,true
2023-09-09T13:03:58.757Z,288.82,-0.588,Saturday,true,false,Summer,3,September,2,9,true
2023-09-03T19:00:52.122Z,272.86,0.624,Sunday,true,false,Summer,3,September,1,15,true
2023-03-26T03:29:19.720Z,352.77,0.932,Saturday,true,false,Winter,1,March,4,23,false
2023-02-26T22:13:19.625Z,33.43,0.853,Sunday,true,false,Winter,1,February,4,17,true
2023-08-17T10:10:37.765Z,609.78,0.099,Thursday,false,false,Summer,3,August,3,6,false
2023-06-30T06:47:49.089Z,538.31,0.773,Friday,false,false,Spring,2,June,5,2,false
2023-03-19T17:18:34.038Z,377.91,0.589,Sunday,true,false,Winter,1,March,3,13,true
2023-09-09T13:10:47.987Z,916.58,-0.902,Saturday,true,false,Summer,3,September,2,9,true
2023-11-19T04:29:01.030Z,467.70,0.341,Saturday,true,false,Fall,4,November,3,23,false
2023-10-15T01:13:22.611Z,656.15,-0.577,Saturday,true,false,Fall,4,October,2,21,false
2023-03-09T08:48:28.924Z,482.17,-0.102,Thursday,false,false,Winter,1,March,2,3,false
2023-11-13T19:17:53.935Z,887.28,-0.362,Monday,false,false,Fall,4,November,2,14,true
2023-06-15T08:48:35.098Z,267.21,-0.866,Thursday,false,false,Spring,2,June,3,4,false
2023-07-13T15:30:50.015Z,202.13,0.167,Thursday,false,false,Summer,3,July,2,11,true
